State,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,1.09,1.09,0.65,2.01
Alaska,1.15,1.15,1.23,2.94
Arizona,1.14,1.14,0.78,2.31
Arkansas,0.93,0.93,0.65,1.8
California,0.96,0.96,0.78,2.33
Colorado,1.14,1.14,1.16,2.81
Connecticut,0.85,0.85,0.98,2.45
Delaware,1.2,1.2,1.79,3.72
District of Columbia,1.13,1.13,1.69,3.85
Florida,1.09,1.09,1.03,2.65
Georgia,0.99,0.99,0.69,1.94
Hawaii,1.29,1.29,0.77,2.63
Idaho,0.92,0.92,0.81,2.92
Illinois,1.12,1.12,0.77,2.32
Indiana,0.98,0.98,0.89,2.17
Iowa,1.3,1.3,0.87,2.4
Kansas,1.02,1.02,0.75,1.92
Kentucky,0.96,0.96,0.79,1.98
Louisiana,1.25,1.25,1.0,2.59
Maine,1.36,1.36,1.01,2.81
Maryland,0.83,0.83,0.92,2.15
Massachusetts,0.95,0.95,0.97,2.57
Michigan,1.04,1.04,0.91,2.34
Minnesota,1.15,1.15,1.17,2.77
Mississippi,1.28,1.28,0.77,2.23
Missouri,1.15,1.15,0.96,2.49
Montana,1.62,1.62,0.98,3.11
Nebraska,1.3,1.3,0.71,2.23
Nevada,1.41,1.41,1.44,3.46
New Hampshire,1.87,1.87,2.0,4.76
New Jersey,0.82,0.82,0.92,2.34
New Mexico,1.11,1.11,0.85,2.27
New York,0.91,0.91,0.78,2.22
North Carolina,1.05,1.05,0.64,2.13
North Dakota,1.64,1.64,1.29,3.26
Ohio,1.15,1.15,0.58,2.04
Oklahoma,1.05,1.05,0.63,1.88
Oregon,1.24,1.24,0.91,2.75
Pennsylvania,1.31,1.31,0.72,2.36
Rhode Island,0.94,0.94,1.05,2.57
South Carolina,1.18,1.18,0.79,2.22
South Dakota,1.46,1.46,1.1,2.87
Tennessee,1.02,1.02,0.79,2.14
Texas,1.3,1.3,0.69,2.34
Utah,0.63,0.63,0.52,1.34
Vermont,1.56,1.56,0.73,3.08
Virginia,1.0,1.0,0.66,2.14
Washington,0.96,0.96,0.78,2.26
West Virginia,1.19,1.19,0.46,1.76
Wisconsin,1.36,1.36,1.22,2.98
Wyoming,1.18,1.18,1.17,2.67
