State,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,1.16,1.16,0.59,1.98
Alaska,1.15,1.15,1.17,2.86
Arizona,1.15,1.15,0.8,2.39
Arkansas,0.98,0.98,0.56,1.72
California,0.95,0.95,0.72,2.25
Colorado,1.2,1.2,1.04,2.73
Connecticut,0.86,0.86,0.88,2.35
Delaware,1.34,1.34,1.52,3.55
District of Columbia,1.19,1.19,1.62,3.82
Florida,1.13,1.13,0.93,2.54
Georgia,1.06,1.06,0.67,1.98
Hawaii,1.25,1.25,0.73,2.52
Idaho,1.0,1.0,0.73,2.65
Illinois,1.19,1.19,0.75,2.35
Indiana,1.02,1.02,0.73,2.02
Iowa,1.38,1.38,0.78,2.37
Kansas,1.07,1.07,0.69,1.9
Kentucky,0.94,0.94,0.66,1.79
Louisiana,1.39,1.39,0.88,2.57
Maine,1.31,1.31,0.87,2.6
Maryland,0.92,0.92,0.89,2.19
Massachusetts,1.02,1.02,0.88,2.54
Michigan,1.07,1.07,0.83,2.25
Minnesota,1.13,1.13,0.99,2.47
Mississippi,1.36,1.36,0.71,2.22
Missouri,1.24,1.24,0.86,2.45
Montana,1.61,1.61,0.9,2.97
Nebraska,1.39,1.39,0.69,2.28
Nevada,1.45,1.45,1.27,3.35
New Hampshire,1.86,1.86,1.98,4.77
New Jersey,0.89,0.89,0.89,2.36
New Mexico,1.32,1.32,0.73,2.35
New York,0.89,0.89,0.72,2.11
North Carolina,1.05,1.05,0.58,2.01
North Dakota,1.66,1.66,1.26,3.18
Ohio,1.24,1.24,0.49,2.02
Oklahoma,1.14,1.14,0.59,1.92
Oregon,1.18,1.18,0.85,2.59
Pennsylvania,1.37,1.37,0.66,2.33
Rhode Island,1.04,1.04,0.94,2.55
South Carolina,1.29,1.29,0.78,2.31
South Dakota,1.51,1.51,0.97,2.77
Tennessee,1.13,1.13,0.66,2.04
Texas,1.35,1.35,0.61,2.27
Utah,0.68,0.68,0.49,1.36
Vermont,1.46,1.46,0.71,2.85
Virginia,1.05,1.05,0.61,2.12
Washington,0.97,0.97,0.75,2.25
West Virginia,1.22,1.22,0.46,1.78
Wisconsin,1.46,1.46,1.16,2.98
Wyoming,1.29,1.29,1.1,2.66
