State,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,1.14,1.14,0.6,1.99
Alaska,1.07,1.07,1.17,2.75
Arizona,1.13,1.13,0.81,2.36
Arkansas,1.0,1.0,0.6,1.81
California,0.98,0.98,0.75,2.33
Colorado,1.2,1.2,1.11,2.81
Connecticut,0.85,0.85,0.91,2.37
Delaware,1.25,1.25,1.63,3.59
District of Columbia,1.17,1.17,1.66,3.84
Florida,1.28,1.28,0.95,2.72
Georgia,1.03,1.03,0.69,1.97
Hawaii,1.25,1.25,0.77,2.56
Idaho,0.96,0.96,0.77,2.81
Illinois,1.13,1.13,0.78,2.33
Indiana,1.0,1.0,0.81,2.09
Iowa,1.33,1.33,0.79,2.34
Kansas,0.99,0.99,0.76,1.88
Kentucky,0.95,0.95,0.7,1.85
Louisiana,1.34,1.34,0.93,2.58
Maine,1.36,1.36,0.91,2.69
Maryland,0.88,0.88,0.9,2.17
Massachusetts,1.0,1.0,0.89,2.56
Michigan,1.02,1.02,0.85,2.24
Minnesota,1.13,1.13,1.16,2.72
Mississippi,1.35,1.35,0.73,2.24
Missouri,1.19,1.19,0.89,2.44
Montana,1.63,1.63,0.95,3.07
Nebraska,1.39,1.39,0.71,2.31
Nevada,1.4,1.4,1.28,3.31
New Hampshire,1.86,1.86,1.93,4.68
New Jersey,0.84,0.84,0.92,2.36
New Mexico,1.17,1.17,0.85,2.35
New York,0.93,0.93,0.77,2.21
North Carolina,1.04,1.04,0.6,2.03
North Dakota,1.68,1.68,1.37,3.38
Ohio,1.22,1.22,0.53,2.04
Oklahoma,1.11,1.11,0.62,1.93
Oregon,1.2,1.2,0.89,2.66
Pennsylvania,1.34,1.34,0.68,2.33
Rhode Island,1.0,1.0,0.98,2.56
South Carolina,1.26,1.26,0.8,2.31
South Dakota,1.52,1.52,1.02,2.81
Tennessee,1.05,1.05,0.7,2.0
Texas,1.3,1.3,0.63,2.25
Utah,0.67,0.67,0.51,1.36
Vermont,1.54,1.54,0.72,3.0
Virginia,1.02,1.02,0.62,2.1
Washington,0.95,0.95,0.76,2.24
West Virginia,1.24,1.24,0.46,1.8
Wisconsin,1.45,1.45,1.17,2.99
Wyoming,1.24,1.24,1.13,2.67
